workload,assignment_method,k,algorithm,algorithm_label,num_instances,mean_selected,mean_fairness,mean_fraction_opt,mean_inverse_ratio
LANL-CM5-1994,exponential,7,online_randomized,Online Randomized,5,1247.19,0.004310674156329503,0.02109233891425672,47.410785883108005
LANL-CM5-1994,exponential,7,simple_online_greedy,Simple Online Greedy,5,17653.0,0.15635831249004503,0.29854557754101135,3.3495723106554127
LANL-CM5-1994,exponential,8,offline_deterministic,Offline Deterministic,5,55087.8,0.5178135819775217,0.931638762049721,1.0733888886631124
LANL-CM5-1994,exponential,8,offline_greedy,Offline Greedy,5,59130.0,0.5225688080260105,1.0,1.0
LANL-CM5-1994,exponential,8,offline_randomized,Offline Randomized,5,54832.03,0.5039367006715609,0.9273132081853542,1.078386023597415
LANL-CM5-1994,exponential,8,online_randomized,Online Randomized,5,827.342,0.004836011699117448,0.013991916117030273,71.4702355047015
LANL-CM5-1994,exponential,8,simple_online_greedy,Simple Online Greedy,5,17653.0,0.15070814779054698,0.29854557754101135,3.3495723106554127
LANL-CM5-1994,exponential,9,offline_deterministic,Offline Deterministic,5,55347.8,0.5077451004386396,0.936035853204803,1.068339447389594
LANL-CM5-1994,exponential,9,offline_greedy,Offline Greedy,5,59130.0,0.5112734417085011,1.0,1.0
LANL-CM5-1994,exponential,9,offline_randomized,Offline Randomized,5,55158.826,0.5015863058062676,0.932839945881955,1.0719960376319444
LANL-CM5-1994,exponential,9,online_randomized,Online Randomized,5,773.4159999999999,0.0040293078554002465,0.013079925587688144,76.45327892814296
LANL-CM5-1994,exponential,9,simple_online_greedy,Simple Online Greedy,5,17653.0,0.14481355730911244,0.29854557754101135,3.3495723106554127
LANL-CM5-1994,exponential,10,offline_deterministic,Offline Deterministic,5,55466.2,0.49433457519846,0.9380382208692711,1.0660701887845658
LANL-CM5-1994,exponential,10,offline_greedy,Offline Greedy,5,59130.0,0.4996638164294411,1.0,1.0
LANL-CM5-1994,exponential,10,offline_randomized,Offline Randomized,5,55403.782,0.4862818337016735,0.9369826145780483,1.0672566261535907
LANL-CM5-1994,exponential,10,online_randomized,Online Randomized,5,750.152,0.003447857155890622,0.01268648740064265,78.8243881436684
LANL-CM5-1994,exponential,10,simple_online_greedy,Simple Online Greedy,5,17653.0,0.14055458286267156,0.29854557754101135,3.3495723106554127
LANL-CM5-1994,uniform,2,offline_deterministic,Offline Deterministic,5,56815.6,0.8248302516764855,0.9608591239641469,1.0407372898991456
LANL-CM5-1994,uniform,2,offline_greedy,Offline Greedy,5,59130.0,0.8656541727968298,1.0,1.0
LANL-CM5-1994,uniform,2,offline_randomized,Offline Randomized,5,56812.68,0.8156150101773886,0.9608097412480974,1.0407895113221959
LANL-CM5-1994,uniform,2,online_randomized,Online Randomized,5,2915.46,0.036778691769593516,0.04930593607305936,20.281550971759128
LANL-CM5-1994,uniform,2,simple_online_greedy,Simple Online Greedy,5,17653.0,0.25690247477344724,0.29854557754101135,3.3495723106554127
LANL-CM5-1994,uniform,3,offline_deterministic,Offline Deterministic,5,55616.8,0.7477926247147146,0.9405851513614071,1.0631689649300082
LANL-CM5-1994,uniform,3,offline_greedy,Offline Greedy,5,59130.0,0.7994359156241765,1.0,1.0
LANL-CM5-1994,uniform,3,offline_randomized,Offline Randomized,5,55600.144,0.7312334925112378,0.9403034669372569,1.063486625697102
LANL-CM5-1994,uniform,3,online_randomized,Online Randomized,5,2144.552,0.020887882299158642,0.0362684255031287,27.57224568130284
LANL-CM5-1994,uniform,3,simple_online_greedy,Simple Online Greedy,5,17653.0,0.23635639624371876,0.29854557754101135,3.3495723106554127
LANL-CM5-1994,uniform,4,offline_deterministic,Offline Deterministic,5,54900.6,0.7008944609122071,0.9284728564180619,1.077039024785794
LANL-CM5-1994,uniform,4,offline_greedy,Offline Greedy,5,59130.0,0.7556101466809522,1.0,1.0
LANL-CM5-1994,uniform,4,offline_randomized,Offline Randomized,5,54887.310000000005,0.6923492852151149,0.928248097412481,1.0772992001483226
LANL-CM5-1994,uniform,4,online_randomized,Online Randomized,5,1564.478,0.015719854473781134,0.026458278369693895,37.795392802946054
LANL-CM5-1994,uniform,4,simple_online_greedy,Simple Online Greedy,5,17653.0,0.22203002879123077,0.29854557754101135,3.3495723106554127
LANL-CM5-1994,uniform,5,offline_deterministic,Offline Deterministic,5,54492.6,0.6650449165783968,0.9215728056823947,1.0851037078608519
LANL-CM5-1994,uniform,5,offline_greedy,Offline Greedy,5,59130.0,0.7259506897902693,1.0,1.0
LANL-CM5-1994,uniform,5,offline_randomized,Offline Randomized,5,54430.328,0.6642214099852601,0.9205196685269745,1.0863436044488373
LANL-CM5-1994,uniform,5,online_randomized,Online Randomized,5,1340.666,0.01358110832079054,0.022673194655843058,44.10496555413018
LANL-CM5-1994,uniform,5,simple_online_greedy,Simple Online Greedy,5,17653.0,0.213274015537606,0.29854557754101135,3.3495723106554127
LANL-CM5-1994,uniform,6,offline_deterministic,Offline Deterministic,5,54262.0,0.6416996410614806,0.9176729240656182,1.0897153153183465
LANL-CM5-1994,uniform,6,offline_greedy,Offline Greedy,5,59130.0,0.7015150993927094,1.0,1.0
LANL-CM5-1994,uniform,6,offline_randomized,Offline Randomized,5,54115.834,0.6153151750646043,0.9152009808895654,1.0926568486654653
LANL-CM5-1994,uniform,6,online_randomized,Online Randomized,5,1136.782,0.005123697931956094,0.0192251310671402,52.01541087589364
LANL-CM5-1994,uniform,6,simple_online_greedy,Simple Online Greedy,5,17653.0,0.20608299618406048,0.29854557754101135,3.3495723106554127
LANL-CM5-1994,uniform,7,offline_deterministic,Offline Deterministic,5,54140.8,0.6239948212333704,0.9156232031117876,1.0921647730858923
LANL-CM5-1994,uniform,7,offline_greedy,Offline Greedy,5,59130.0,0.6833304620997939,1.0,1.0
LANL-CM5-1994,uniform,7,offline_randomized,Offline Randomized,5,53961.11,0.6016251762151406,0.9125843057669542,1.0957900973624626
